"AlCl3 DI Blue - RawData"
"Wavelength nm.","T%"
300.00,1.676
301.00,1.789
302.00,1.987
303.00,2.157
304.00,2.311
305.00,2.535
306.00,2.800
307.00,3.189
308.00,3.444
309.00,3.731
310.00,4.093
311.00,4.534
312.00,4.965
313.00,5.432
314.00,5.978
315.00,6.577
316.00,7.177
317.00,7.758
318.00,8.404
319.00,9.075
320.00,9.822
321.00,10.558
322.00,11.255
323.00,12.022
324.00,12.807
325.00,13.672
326.00,14.492
327.00,15.427
328.00,16.370
329.00,17.354
330.00,18.332
331.00,19.380
332.00,20.478
333.00,21.610
334.00,22.728
335.00,23.876
336.00,24.957
337.00,26.147
338.00,27.306
339.00,28.526
340.00,29.640
341.00,30.732
342.00,31.729
343.00,32.710
344.00,33.594
345.00,34.494
346.00,35.301
347.00,36.122
348.00,36.860
349.00,37.764
350.00,38.614
351.00,39.408
352.00,39.995
353.00,40.531
354.00,41.054
355.00,41.608
356.00,42.138
357.00,42.589
358.00,43.038
359.00,43.481
360.00,43.999
361.00,44.462
362.00,44.998
363.00,45.480
364.00,45.900
365.00,46.274
366.00,46.679
367.00,47.052
368.00,47.431
369.00,47.750
370.00,48.104
371.00,48.296
372.00,48.555
373.00,48.683
374.00,48.857
375.00,48.892
376.00,48.956
377.00,48.976
378.00,48.891
379.00,48.710
380.00,48.510
381.00,48.272
382.00,48.003
383.00,47.685
384.00,47.354
385.00,47.028
386.00,46.650
387.00,46.266
388.00,45.795
389.00,45.328
390.00,44.878
391.00,44.449
392.00,43.979
393.00,43.519
394.00,43.045
395.00,42.599
396.00,42.104
397.00,41.657
398.00,41.224
399.00,40.809
400.00,40.407
401.00,40.030
402.00,39.651
403.00,39.309
404.00,38.937
405.00,38.602
406.00,38.224
407.00,37.904
408.00,37.595
409.00,37.290
410.00,36.992
411.00,36.681
412.00,36.420
413.00,36.152
414.00,35.898
415.00,35.633
416.00,35.361
417.00,35.105
418.00,34.840
419.00,34.589
420.00,34.374
421.00,34.137
422.00,33.905
423.00,33.634
424.00,33.397
425.00,33.122
426.00,32.865
427.00,32.581
428.00,32.332
429.00,32.056
430.00,31.806
431.00,31.526
432.00,31.240
433.00,30.939
434.00,30.635
435.00,30.366
436.00,30.088
437.00,29.823
438.00,29.537
439.00,29.220
440.00,28.898
441.00,28.573
442.00,28.286
443.00,27.985
444.00,27.680
445.00,27.354
446.00,27.067
447.00,26.755
448.00,26.468
449.00,26.152
450.00,25.857
451.00,25.532
452.00,25.223
453.00,24.921
454.00,24.625
455.00,24.317
456.00,23.988
457.00,23.677
458.00,23.372
459.00,23.097
460.00,22.808
461.00,22.531
462.00,22.240
463.00,21.963
464.00,21.682
465.00,21.420
466.00,21.150
467.00,20.873
468.00,20.596
469.00,20.348
470.00,20.097
471.00,19.853
472.00,19.603
473.00,19.365
474.00,19.110
475.00,18.867
476.00,18.631
477.00,18.420
478.00,18.190
479.00,17.970
480.00,17.747
481.00,17.532
482.00,17.318
483.00,17.101
484.00,16.899
485.00,16.695
486.00,16.490
487.00,16.290
488.00,16.095
489.00,15.906
490.00,15.703
491.00,15.517
492.00,15.338
493.00,15.179
494.00,15.005
495.00,14.831
496.00,14.657
497.00,14.484
498.00,14.319
499.00,14.159
500.00,14.002
501.00,13.841
502.00,13.672
503.00,13.516
504.00,13.371
505.00,13.228
506.00,13.079
507.00,12.924
508.00,12.772
509.00,12.626
510.00,12.485
511.00,12.357
512.00,12.227
513.00,12.106
514.00,11.969
515.00,11.825
516.00,11.693
517.00,11.561
518.00,11.442
519.00,11.301
520.00,11.175
521.00,11.054
522.00,10.934
523.00,10.813
524.00,10.688
525.00,10.572
526.00,10.450
527.00,10.337
528.00,10.219
529.00,10.119
530.00,10.003
531.00,9.892
532.00,9.777
533.00,9.676
534.00,9.582
535.00,9.479
536.00,9.373
537.00,9.269
538.00,9.174
539.00,9.084
540.00,8.988
541.00,8.887
542.00,8.790
543.00,8.691
544.00,8.598
545.00,8.505
546.00,8.421
547.00,8.328
548.00,8.242
549.00,8.153
550.00,8.069
551.00,7.985
552.00,7.908
553.00,7.829
554.00,7.747
555.00,7.663
556.00,7.587
557.00,7.508
558.00,7.433
559.00,7.354
560.00,7.289
561.00,7.219
562.00,7.148
563.00,7.076
564.00,6.998
565.00,6.930
566.00,6.857
567.00,6.789
568.00,6.720
569.00,6.652
570.00,6.587
571.00,6.526
572.00,6.465
573.00,6.401
574.00,6.341
575.00,6.286
576.00,6.228
577.00,6.167
578.00,6.105
579.00,6.050
580.00,5.996
581.00,5.943
582.00,5.891
583.00,5.839
584.00,5.785
