"Wavelength nm.","T%"
300.00,1.107
301.00,1.192
302.00,1.315
303.00,1.479
304.00,1.644
305.00,1.801
306.00,1.946
307.00,2.156
308.00,2.377
309.00,2.683
310.00,2.934
311.00,3.333
312.00,3.700
313.00,4.178
314.00,4.609
315.00,5.109
316.00,5.622
317.00,6.215
318.00,6.778
319.00,7.422
320.00,8.071
321.00,8.900
322.00,9.729
323.00,10.634
324.00,11.528
325.00,12.509
326.00,13.597
327.00,14.705
328.00,15.916
329.00,17.131
330.00,18.470
331.00,19.887
332.00,21.322
333.00,22.841
334.00,24.360
335.00,25.983
336.00,27.558
337.00,29.218
338.00,30.863
339.00,32.607
340.00,34.344
341.00,36.010
342.00,37.669
343.00,39.221
344.00,40.880
345.00,42.518
346.00,44.161
347.00,45.785
348.00,47.402
349.00,49.280
350.00,51.192
351.00,53.049
352.00,54.755
353.00,56.547
354.00,58.394
355.00,60.196
356.00,61.957
357.00,63.685
358.00,65.487
359.00,67.317
360.00,69.253
361.00,71.137
362.00,72.950
363.00,74.668
364.00,76.321
365.00,78.007
366.00,79.605
367.00,81.198
368.00,82.608
369.00,83.831
370.00,84.938
371.00,85.941
372.00,87.147
373.00,88.106
374.00,88.989
375.00,89.552
376.00,90.223
377.00,90.739
378.00,91.134
379.00,91.394
380.00,91.620
381.00,91.819
382.00,91.905
383.00,91.891
384.00,91.847
385.00,91.848
386.00,91.845
387.00,91.856
388.00,91.741
389.00,91.614
390.00,91.490
391.00,91.444
392.00,91.441
393.00,91.459
394.00,91.434
395.00,91.446
396.00,91.466
397.00,91.602
398.00,91.749
399.00,91.899
400.00,92.078
401.00,92.271
402.00,92.534
403.00,92.792
404.00,93.081
405.00,93.337
406.00,93.638
407.00,93.979
408.00,94.385
409.00,94.713
410.00,95.083
411.00,95.347
412.00,95.644
413.00,95.965
414.00,96.378
415.00,96.785
416.00,97.102
417.00,97.464
418.00,97.876
419.00,98.178
420.00,98.416
421.00,98.565
422.00,98.811
423.00,99.062
424.00,99.203
425.00,99.308
426.00,99.349
427.00,99.434
428.00,99.479
429.00,99.494
430.00,99.460
431.00,99.367
432.00,99.173
433.00,98.950
434.00,98.721
435.00,98.505
436.00,98.270
437.00,98.037
438.00,97.723
439.00,97.397
440.00,97.012
441.00,96.622
442.00,96.195
443.00,95.740
444.00,95.294
445.00,94.822
446.00,94.320
447.00,93.803
448.00,93.278
449.00,92.762
450.00,92.273
451.00,91.799
452.00,91.298
453.00,90.767
454.00,90.219
455.00,89.722
456.00,89.229
457.00,88.719
458.00,88.214
459.00,87.738
460.00,87.270
461.00,86.798
462.00,86.303
463.00,85.925
464.00,85.519
465.00,85.133
466.00,84.699
467.00,84.316
468.00,83.996
469.00,83.652
470.00,83.351
471.00,83.028
472.00,82.794
473.00,82.526
474.00,82.314
475.00,82.096
476.00,81.923
477.00,81.755
478.00,81.608
479.00,81.491
480.00,81.378
481.00,81.264
482.00,81.163
483.00,81.064
484.00,80.981
485.00,80.918
486.00,80.887
487.00,80.856
488.00,80.838
489.00,80.869
490.00,80.939
491.00,81.021
492.00,81.098
493.00,81.196
494.00,81.347
495.00,81.464
