"AlCl3 DI Bleached Attempt 2 - RawData"
"Wavelength nm.","T%"
300.00,2.679
301.00,2.653
302.00,2.470
303.00,2.400
304.00,2.281
305.00,2.279
306.00,2.340
307.00,2.409
308.00,2.590
309.00,2.801
310.00,3.096
311.00,3.366
312.00,3.708
313.00,4.066
314.00,4.598
315.00,5.107
316.00,5.679
317.00,6.231
318.00,6.899
319.00,7.602
320.00,8.401
321.00,9.259
322.00,10.193
323.00,11.181
324.00,12.224
325.00,13.367
326.00,14.540
327.00,15.823
328.00,17.165
329.00,18.547
330.00,20.042
331.00,21.497
332.00,23.123
333.00,24.675
334.00,26.435
335.00,28.146
336.00,29.984
337.00,31.774
338.00,33.746
339.00,35.700
340.00,37.776
341.00,39.797
342.00,41.967
343.00,44.172
344.00,46.477
345.00,48.763
346.00,51.241
347.00,53.747
348.00,56.379
349.00,58.894
350.00,61.518
351.00,64.062
352.00,66.795
353.00,69.394
354.00,71.938
355.00,74.271
356.00,76.553
357.00,78.712
358.00,80.751
359.00,82.677
360.00,84.555
361.00,86.263
362.00,87.858
363.00,89.275
364.00,90.572
365.00,91.741
366.00,92.786
367.00,93.804
368.00,94.540
369.00,95.391
370.00,96.051
371.00,96.838
372.00,97.650
373.00,98.423
374.00,99.204
375.00,99.766
376.00,100.502
377.00,101.310
378.00,102.149
379.00,103.005
380.00,103.849
381.00,104.776
382.00,105.657
383.00,106.611
384.00,107.451
385.00,108.267
386.00,108.951
387.00,109.764
388.00,110.630
389.00,111.525
390.00,112.305
391.00,113.008
392.00,113.599
393.00,114.150
394.00,114.634
395.00,115.101
396.00,115.486
397.00,115.812
398.00,116.021
399.00,116.163
400.00,116.177
401.00,116.090
402.00,115.907
403.00,115.663
404.00,115.405
405.00,115.058
406.00,114.615
407.00,114.097
408.00,113.555
409.00,113.067
410.00,112.524
411.00,111.926
412.00,111.249
413.00,110.669
414.00,110.044
415.00,109.397
416.00,108.644
417.00,107.955
418.00,107.258
419.00,106.529
420.00,105.867
421.00,105.178
422.00,104.600
423.00,103.984
424.00,103.460
425.00,102.968
426.00,102.470
427.00,101.982
428.00,101.493
429.00,101.066
430.00,100.702
431.00,100.346
432.00,100.024
433.00,99.719
434.00,99.485
435.00,99.292
436.00,99.122
437.00,98.984
438.00,98.851
439.00,98.793
440.00,98.717
441.00,98.696
442.00,98.678
443.00,98.742
444.00,98.794
445.00,98.884
446.00,98.985
447.00,99.152
448.00,99.293
449.00,99.433
450.00,99.635
451.00,99.869
452.00,100.125
453.00,100.327
454.00,100.475
455.00,100.663
456.00,100.861
457.00,101.139
458.00,101.404
459.00,101.622
460.00,101.856
461.00,102.042
462.00,102.265
463.00,102.411
464.00,102.615
465.00,102.791
466.00,103.012
467.00,103.171
468.00,103.321
469.00,103.416
470.00,103.494
471.00,103.558
472.00,103.581
473.00,103.569
474.00,103.533
475.00,103.533
476.00,103.471
477.00,103.416
478.00,103.272
479.00,103.163
480.00,102.961
481.00,102.740
482.00,102.480
483.00,102.290
484.00,102.134
485.00,101.952
486.00,101.741
487.00,101.440
488.00,101.113
489.00,100.714
490.00,100.365
491.00,99.988
492.00,99.621
493.00,99.214
494.00,98.834
495.00,98.456
496.00,98.073
497.00,97.679
498.00,97.242
499.00,96.833
500.00,96.377
501.00,95.978
502.00,95.564
503.00,95.175
504.00,94.720
505.00,94.248
506.00,93.810
507.00,93.398
508.00,92.999
509.00,92.587
510.00,92.251
511.00,91.880
512.00,91.532
513.00,91.156
514.00,90.834
515.00,90.503
516.00,90.122
517.00,89.780
518.00,89.476
519.00,89.187
520.00,88.917
521.00,88.639
522.00,88.415
523.00,88.191
524.00,87.970
525.00,87.723
526.00,87.512
527.00,87.275
528.00,87.083
529.00,86.851
530.00,86.671
531.00,86.477
532.00,86.345
533.00,86.219
534.00,86.151
535.00,86.096
536.00,86.045
537.00,85.981
538.00,85.867
539.00,85.784
540.00,85.751
541.00,85.732
542.00,85.707
543.00,85.682
544.00,85.697
545.00,85.744
546.00,85.788
547.00,85.833
548.00,85.880
549.00,85.929
550.00,85.977
551.00,86.071
552.00,86.186
553.00,86.328
554.00,86.440
555.00,86.561
556.00,86.647
557.00,86.771
558.00,86.926
559.00,87.085
560.00,87.231
561.00,87.319
562.00,87.518
563.00,87.701
564.00,87.934
565.00,88.150
566.00,88.432
567.00,88.703
568.00,88.950
569.00,89.192
570.00,89.430
571.00,89.640
572.00,89.820
573.00,90.023
574.00,90.253
575.00,90.534
576.00,90.797
577.00,91.101
578.00,91.392
579.00,91.683
580.00,91.923
581.00,92.141
582.00,92.385
583.00,92.653
584.00,92.894
585.00,93.162
586.00,93.422
587.00,93.728
588.00,94.017
589.00,94.288
590.00,94.537
591.00,94.755
592.00,94.992
593.00,95.229
594.00,95.464
595.00,95.662
596.00,95.892
597.00,96.145
598.00,96.447
599.00,96.698
600.00,96.917
601.00,97.167
602.00,97.390
603.00,97.649
604.00,97.828
605.00,98.059
606.00,98.271
607.00,98.485
608.00,98.627
609.00,98.838
610.00,99.031
611.00,99.251
612.00,99.428
613.00,99.584
614.00,99.730
615.00,99.858
616.00,99.996
617.00,100.162
618.00,100.279
619.00,100.468
620.00,100.628
621.00,100.780
622.00,100.851
623.00,101.005
624.00,101.147
625.00,101.269
626.00,101.271
627.00,101.307
628.00,101.354
629.00,101.453
630.00,101.517
631.00,101.628
632.00,101.730
633.00,101.843
634.00,101.900
635.00,101.940
636.00,101.944
637.00,101.980
638.00,102.000
639.00,102.055
640.00,102.094
641.00,102.128
642.00,102.114
643.00,102.087
644.00,102.057
645.00,102.090
646.00,102.112
647.00,102.098
648.00,102.019
649.00,101.973
650.00,102.015
651.00,102.046
652.00,101.993
653.00,101.902
654.00,101.872
655.00,101.845
656.00,101.790
657.00,101.738
658.00,101.697
659.00,101.640
660.00,101.571
661.00,101.551
662.00,101.498
663.00,101.425
664.00,101.357
665.00,101.312
666.00,101.246
667.00,101.147
668.00,101.040
669.00,100.919
670.00,100.823
671.00,100.727
672.00,100.662
673.00,100.530
674.00,100.473
675.00,100.457
676.00,100.438
677.00,100.392
678.00,100.293
679.00,100.220
680.00,100.142
681.00,100.020
682.00,99.930
683.00,99.898
684.00,99.851
685.00,99.820
686.00,99.682
687.00,99.614
688.00,99.508
689.00,99.392
690.00,99.337
691.00,99.266
692.00,99.194
693.00,99.051
694.00,98.907
695.00,98.867
696.00,98.794
697.00,98.744
698.00,98.691
699.00,98.621
700.00,98.564
701.00,98.483
702.00,98.444
703.00,98.353
704.00,98.242
705.00,98.112
706.00,98.023
707.00,97.946
708.00,97.872
709.00,97.763
710.00,97.678
711.00,97.645
712.00,97.651
713.00,97.602
714.00,97.556
715.00,97.439
716.00,97.307
717.00,97.224
718.00,97.153
719.00,97.108
720.00,97.026
721.00,96.963
722.00,96.863
723.00,96.783
724.00,96.697
725.00,96.640
726.00,96.553
727.00,96.543
728.00,96.493
729.00,96.426
730.00,96.336
731.00,96.279
732.00,96.218
733.00,96.148
734.00,96.117
735.00,96.120
736.00,96.049
737.00,95.972
738.00,95.830
739.00,95.784
740.00,95.734
741.00,95.689
742.00,95.632
743.00,95.608
744.00,95.617
745.00,95.513
746.00,95.373
747.00,95.244
748.00,95.173
749.00,95.146
750.00,95.107
751.00,95.119
752.00,95.063
753.00,94.972
754.00,94.825
755.00,94.749
756.00,94.665
757.00,94.658
758.00,94.552
759.00,94.524
760.00,94.477
761.00,94.419
762.00,94.302
763.00,94.191
764.00,94.129
765.00,94.112
766.00,94.093
767.00,94.025
768.00,93.954
769.00,93.784
770.00,93.763
771.00,93.627
772.00,93.607
773.00,93.505
774.00,93.429
775.00,93.373
776.00,93.319
777.00,93.414
778.00,93.340
779.00,93.253
780.00,93.022
781.00,92.878
782.00,92.764
783.00,92.716
784.00,92.700
785.00,92.653
786.00,92.605
787.00,92.535
788.00,92.474
789.00,92.361
790.00,92.349
791.00,92.307
792.00,92.234
793.00,92.107
794.00,91.921
795.00,91.827
796.00,91.731
797.00,91.720
798.00,91.668
799.00,91.596
800.00,91.480
801.00,91.403
802.00,91.301
803.00,91.246
804.00,91.194
805.00,91.145
806.00,91.010
807.00,90.939
808.00,90.871
809.00,90.816
810.00,90.656
811.00,90.535
812.00,90.490
813.00,90.416
814.00,90.339
815.00,90.214
816.00,90.129
817.00,90.063
818.00,90.034
819.00,89.937
820.00,89.816
821.00,89.656
822.00,89.591
823.00,89.579
824.00,89.502
825.00,89.416
826.00,89.270
827.00,89.195
828.00,89.111
829.00,88.939
830.00,88.848
831.00,88.745
832.00,88.717
833.00,88.582
834.00,88.447
835.00,88.307
836.00,88.225
837.00,88.168
838.00,88.108
839.00,88.039
840.00,87.948
841.00,87.810
842.00,87.718
843.00,87.650
844.00,87.578
845.00,87.476
846.00,87.428
847.00,87.355
848.00,87.244
849.00,87.110
850.00,87.017
851.00,86.973
852.00,86.885
853.00,86.818
854.00,86.752
855.00,86.649
856.00,86.635
857.00,86.577
858.00,86.504
859.00,86.380
860.00,86.243
861.00,86.111
862.00,85.977
863.00,85.939
864.00,85.934
865.00,85.881
866.00,85.791
867.00,85.677
868.00,85.573
869.00,85.432
870.00,85.402
871.00,85.341
872.00,85.272
873.00,85.127
874.00,85.069
875.00,85.059
876.00,85.048
877.00,84.953
878.00,84.855
879.00,84.820
880.00,84.783
881.00,84.753
882.00,84.671
883.00,84.640
884.00,84.561
885.00,84.485
886.00,84.381
887.00,84.316
888.00,84.250
889.00,84.215
890.00,84.167
891.00,84.153
892.00,84.098
893.00,84.048
894.00,83.967
895.00,83.899
896.00,83.828
897.00,83.732
898.00,83.674
899.00,83.616
900.00,83.598
901.00,83.597
902.00,83.613
903.00,83.542
904.00,83.471
905.00,83.367
906.00,83.340
907.00,83.285
908.00,83.247
909.00,83.220
910.00,83.153
911.00,83.137
912.00,83.110
913.00,83.156
914.00,83.119
915.00,83.125
916.00,83.082
917.00,83.036
918.00,82.949
919.00,82.932
920.00,82.959
921.00,82.984
922.00,82.935
923.00,82.857
924.00,82.817
925.00,82.795
926.00,82.778
927.00,82.745
928.00,82.763
929.00,82.757
930.00,82.763
931.00,82.731
932.00,82.768
933.00,82.792
934.00,82.802
935.00,82.766
936.00,82.708
937.00,82.661
938.00,82.663
939.00,82.702
940.00,82.735
941.00,82.734
942.00,82.738
943.00,82.742
944.00,82.771
945.00,82.763
946.00,82.775
947.00,82.771
948.00,82.761
949.00,82.758
950.00,82.766
951.00,82.775
952.00,82.777
953.00,82.805
954.00,82.868
955.00,82.949
956.00,82.973
957.00,82.968
958.00,82.962
959.00,82.978
960.00,83.019
961.00,83.036
962.00,83.055
963.00,83.102
964.00,83.136
965.00,83.197
966.00,83.221
967.00,83.252
968.00,83.291
969.00,83.310
970.00,83.354
971.00,83.353
972.00,83.403
973.00,83.457
974.00,83.546
975.00,83.601
976.00,83.672
977.00,83.693
978.00,83.725
979.00,83.745
980.00,83.816
981.00,83.876
982.00,83.931
983.00,83.981
984.00,84.082
985.00,84.138
986.00,84.225
987.00,84.273
988.00,84.358
989.00,84.403
990.00,84.450
991.00,84.500
992.00,84.560
993.00,84.639
994.00,84.729
995.00,84.819
996.00,84.868
997.00,84.917
998.00,84.968
999.00,85.035
1000.00,85.105
1001.00,85.175
1002.00,85.271
1003.00,85.383
1004.00,85.459
1005.00,85.550
1006.00,85.630
1007.00,85.755
1008.00,85.857
1009.00,85.923
1010.00,86.016
1011.00,86.127
1012.00,86.216
1013.00,86.278
1014.00,86.325
1015.00,86.412
1016.00,86.527
1017.00,86.626
1018.00,86.738
1019.00,86.808
1020.00,86.859
1021.00,86.949
1022.00,87.053
1023.00,87.196
1024.00,87.328
1025.00,87.421
1026.00,87.529
1027.00,87.618
1028.00,87.725
1029.00,87.790
1030.00,87.855
1031.00,87.982
1032.00,88.091
1033.00,88.219
1034.00,88.299
1035.00,88.453
1036.00,88.583
1037.00,88.718
1038.00,88.813
1039.00,88.900
1040.00,89.016
1041.00,89.142
1042.00,89.303
1043.00,89.425
1044.00,89.523
1045.00,89.630
1046.00,89.734
1047.00,89.870
1048.00,89.974
1049.00,90.131
1050.00,90.266
1051.00,90.424
1052.00,90.515
1053.00,90.654
1054.00,90.749
1055.00,90.902
1056.00,91.005
1057.00,91.147
