"Wavelength nm.","T%"
300.00,1.863
301.00,1.913
302.00,2.081
303.00,2.298
304.00,2.575
305.00,2.867
306.00,3.150
307.00,3.509
308.00,3.849
309.00,4.260
310.00,4.702
311.00,5.195
312.00,5.723
313.00,6.280
314.00,6.910
315.00,7.595
316.00,8.309
317.00,9.012
318.00,9.802
319.00,10.572
320.00,11.460
321.00,12.398
322.00,13.397
323.00,14.442
324.00,15.485
325.00,16.681
326.00,17.904
327.00,19.226
328.00,20.540
329.00,21.922
330.00,23.425
331.00,24.909
332.00,26.442
333.00,27.898
334.00,29.473
335.00,30.961
336.00,32.478
337.00,33.936
338.00,35.386
339.00,36.819
340.00,38.330
341.00,39.733
342.00,41.126
343.00,42.382
344.00,43.769
345.00,45.064
346.00,46.419
347.00,47.698
348.00,49.099
349.00,50.610
350.00,52.192
351.00,53.670
352.00,55.031
353.00,56.341
354.00,57.729
355.00,59.136
356.00,60.582
357.00,61.944
358.00,63.259
359.00,64.490
360.00,65.781
361.00,66.975
362.00,68.144
363.00,69.242
364.00,70.279
365.00,71.302
366.00,72.140
367.00,72.916
368.00,73.544
369.00,74.074
370.00,74.584
371.00,74.962
372.00,75.345
373.00,75.535
374.00,75.688
375.00,75.707
376.00,75.778
377.00,75.789
378.00,75.754
379.00,75.557
380.00,75.328
381.00,75.089
382.00,74.826
383.00,74.603
384.00,74.315
385.00,74.113
386.00,73.829
387.00,73.624
388.00,73.334
389.00,73.103
390.00,72.872
391.00,72.672
392.00,72.547
393.00,72.405
394.00,72.262
395.00,72.115
396.00,71.969
397.00,71.936
398.00,71.873
399.00,71.843
400.00,71.795
401.00,71.793
402.00,71.798
403.00,71.832
404.00,71.823
405.00,71.844
406.00,71.855
407.00,71.885
408.00,71.932
409.00,71.969
410.00,72.018
411.00,71.996
412.00,71.939
413.00,71.983
414.00,72.044
415.00,72.077
416.00,72.002
417.00,71.925
418.00,71.923
419.00,71.859
420.00,71.776
421.00,71.648
422.00,71.555
423.00,71.451
424.00,71.274
425.00,71.048
426.00,70.823
427.00,70.601
428.00,70.360
429.00,70.093
430.00,69.789
431.00,69.475
432.00,69.129
433.00,68.759
434.00,68.405
435.00,68.042
436.00,67.667
437.00,67.288
438.00,66.888
439.00,66.485
440.00,66.028
441.00,65.558
442.00,65.105
443.00,64.637
444.00,64.167
445.00,63.702
446.00,63.264
447.00,62.808
448.00,62.371
449.00,61.932
450.00,61.535
451.00,61.123
452.00,60.680
453.00,60.228
454.00,59.786
455.00,59.385
456.00,58.992
457.00,58.596
458.00,58.204
459.00,57.827
460.00,57.449
461.00,57.052
462.00,56.656
463.00,56.309
464.00,55.976
465.00,55.675
466.00,55.336
467.00,55.029
468.00,54.714
469.00,54.433
470.00,54.136
471.00,53.862
472.00,53.611
473.00,53.345
474.00,53.078
475.00,52.791
476.00,52.562
477.00,52.325
478.00,52.118
479.00,51.930
480.00,51.743
481.00,51.539
482.00,51.325
483.00,51.142
484.00,50.971
485.00,50.791
486.00,50.606
487.00,50.420
488.00,50.260
489.00,50.113
490.00,49.946
491.00,49.814
492.00,49.663
493.00,49.529
494.00,49.400
495.00,49.257
496.00,49.155
497.00,49.013
498.00,48.897
499.00,48.766
500.00,48.670
501.00,48.563
502.00,48.459
503.00,48.322
504.00,48.200
505.00,48.091
506.00,47.953
507.00,47.830
508.00,47.691
509.00,47.590
510.00,47.478
511.00,47.342
512.00,47.214
513.00,47.087
514.00,46.964
515.00,46.834
516.00,46.686
517.00,46.567
518.00,46.430
519.00,46.299
520.00,46.163
521.00,46.044
522.00,45.928
523.00,45.814
524.00,45.703
525.00,45.590
526.00,45.444
527.00,45.296
528.00,45.140
529.00,45.006
530.00,44.852
531.00,44.701
532.00,44.534
533.00,44.364
534.00,44.231
535.00,44.112
536.00,43.985
537.00,43.835
538.00,43.641
539.00,43.489
540.00,43.321
541.00,43.185
542.00,43.024
543.00,42.855
544.00,42.682
545.00,42.498
546.00,42.332
547.00,42.162
548.00,42.014
549.00,41.847
550.00,41.687
551.00,41.506
552.00,41.343
553.00,41.182
554.00,41.031
555.00,40.857
556.00,40.702
557.00,40.529
558.00,40.352
559.00,40.175
560.00,40.020
561.00,39.868
562.00,39.687
563.00,39.487
564.00,39.291
565.00,39.114
566.00,38.952
567.00,38.780
568.00,38.626
569.00,38.471
570.00,38.314
571.00,38.131
572.00,37.943
573.00,37.788
574.00,37.633
575.00,37.483
576.00,37.318
577.00,37.160
578.00,37.005
579.00,36.828
580.00,36.654
581.00,36.502
582.00,36.365
583.00,36.208
584.00,36.055
585.00,35.920
586.00,35.781
587.00,35.615
588.00,35.448
589.00,35.309
590.00,35.180
591.00,35.025
592.00,34.868
593.00,34.709
594.00,34.579
595.00,34.444
596.00,34.306
597.00,34.163
598.00,34.024
599.00,33.886
600.00,33.755
601.00,33.625
602.00,33.485
603.00,33.361
604.00,33.245
605.00,33.111
606.00,32.961
607.00,32.816
608.00,32.695
609.00,32.590
610.00,32.459
611.00,32.325
612.00,32.184
613.00,32.071
614.00,31.972
615.00,31.859
616.00,31.744
617.00,31.620
618.00,31.508
619.00,31.392
620.00,31.270
621.00,31.166
622.00,31.044
623.00,30.947
624.00,30.833
625.00,30.730
626.00,30.611
627.00,30.487
628.00,30.379
629.00,30.273
630.00,30.172
631.00,30.073
632.00,29.971
633.00,29.882
634.00,29.774
635.00,29.668
636.00,29.556
637.00,29.441
638.00,29.361
639.00,29.270
640.00,29.201
641.00,29.088
642.00,28.976
643.00,28.869
644.00,28.793
645.00,28.736
646.00,28.654
647.00,28.563
648.00,28.464
649.00,28.389
650.00,28.304
651.00,28.220
652.00,28.130
653.00,28.040
654.00,27.951
655.00,27.872
656.00,27.784
657.00,27.698
658.00,27.597
659.00,27.520
660.00,27.448
661.00,27.373
662.00,27.311
663.00,27.224
664.00,27.152
665.00,27.067
666.00,27.004
667.00,26.929
668.00,26.858
669.00,26.800
670.00,26.736
671.00,26.679
