"Zinc - Water - Clear 221124 No 2 - RawData"
"Wavelength nm.","T%"
300.00,2.376
301.00,2.233
302.00,2.027
303.00,1.863
304.00,1.827
305.00,1.806
306.00,1.869
307.00,1.950
308.00,2.096
309.00,2.227
310.00,2.390
311.00,2.565
312.00,2.869
313.00,3.117
314.00,3.490
315.00,3.809
316.00,4.256
317.00,4.689
318.00,5.185
319.00,5.678
320.00,6.246
321.00,6.839
322.00,7.506
323.00,8.198
324.00,8.971
325.00,9.814
326.00,10.722
327.00,11.679
328.00,12.717
329.00,13.826
330.00,15.040
331.00,16.318
332.00,17.717
333.00,19.222
334.00,20.769
335.00,22.362
336.00,24.052
337.00,25.830
338.00,27.738
339.00,29.631
340.00,31.524
341.00,33.462
342.00,35.354
343.00,37.290
344.00,39.161
345.00,41.062
346.00,42.955
347.00,44.812
348.00,46.680
349.00,48.463
350.00,50.179
351.00,51.780
352.00,53.463
353.00,55.137
354.00,56.778
355.00,58.391
356.00,60.022
357.00,61.713
358.00,63.483
359.00,65.276
360.00,67.096
361.00,68.907
362.00,70.793
363.00,72.723
364.00,74.699
365.00,76.626
366.00,78.593
367.00,80.581
368.00,82.521
369.00,84.406
370.00,86.250
371.00,87.981
372.00,89.966
373.00,91.699
374.00,93.614
375.00,94.997
376.00,96.335
377.00,97.461
378.00,98.471
379.00,99.482
380.00,100.202
381.00,100.840
382.00,101.206
383.00,101.499
384.00,101.753
385.00,101.847
386.00,101.878
387.00,101.735
388.00,101.571
389.00,101.161
390.00,100.810
391.00,100.448
392.00,100.152
393.00,99.756
394.00,99.316
395.00,98.924
396.00,98.527
397.00,98.150
398.00,97.851
399.00,97.521
400.00,97.308
401.00,97.088
402.00,97.029
403.00,96.889
404.00,96.779
405.00,96.594
406.00,96.540
407.00,96.613
408.00,96.793
409.00,96.932
410.00,97.095
411.00,97.332
412.00,97.634
413.00,97.978
414.00,98.308
415.00,98.673
416.00,99.032
417.00,99.416
418.00,99.859
419.00,100.221
420.00,100.623
421.00,101.030
422.00,101.507
423.00,102.014
424.00,102.476
425.00,102.885
426.00,103.279
427.00,103.653
428.00,104.102
429.00,104.462
430.00,104.793
431.00,105.029
432.00,105.256
433.00,105.475
434.00,105.696
435.00,105.812
436.00,105.906
437.00,105.892
438.00,105.909
439.00,105.813
440.00,105.740
441.00,105.633
442.00,105.469
443.00,105.231
444.00,104.884
445.00,104.547
446.00,104.145
447.00,103.729
448.00,103.268
449.00,102.811
450.00,102.293
451.00,101.729
452.00,101.121
453.00,100.501
454.00,99.850
455.00,99.189
456.00,98.542
457.00,97.921
458.00,97.288
459.00,96.656
460.00,95.958
461.00,95.267
462.00,94.588
463.00,93.959
464.00,93.295
465.00,92.585
466.00,91.914
467.00,91.305
468.00,90.706
469.00,90.102
470.00,89.476
471.00,88.903
472.00,88.328
473.00,87.817
