"Zinc - Water 221124 - RawData"
"Wavelength nm.","T%"
300.00,0.958
301.00,0.952
302.00,0.968
303.00,1.079
304.00,1.249
305.00,1.408
306.00,1.536
307.00,1.691
308.00,1.860
309.00,2.041
310.00,2.243
311.00,2.545
312.00,2.925
313.00,3.306
314.00,3.729
315.00,4.122
316.00,4.598
317.00,5.061
318.00,5.605
319.00,6.160
320.00,6.854
321.00,7.546
322.00,8.303
323.00,9.093
324.00,9.986
325.00,10.910
326.00,11.877
327.00,12.888
328.00,14.003
329.00,15.205
330.00,16.492
331.00,17.884
332.00,19.349
333.00,20.924
334.00,22.593
335.00,24.332
336.00,26.160
337.00,28.049
338.00,30.008
339.00,32.020
340.00,33.948
341.00,35.939
342.00,37.835
343.00,39.817
344.00,41.674
345.00,43.582
346.00,45.449
347.00,47.230
348.00,49.004
349.00,50.709
350.00,52.408
351.00,54.089
352.00,55.747
353.00,57.392
354.00,59.017
355.00,60.601
356.00,62.220
357.00,63.722
358.00,65.255
359.00,66.885
360.00,68.650
361.00,70.566
362.00,72.354
363.00,74.164
364.00,75.920
365.00,77.674
366.00,79.447
367.00,81.264
368.00,83.152
369.00,84.808
370.00,86.428
371.00,88.009
372.00,89.797
373.00,91.332
374.00,92.833
375.00,94.009
376.00,95.150
377.00,96.069
378.00,96.956
379.00,97.670
380.00,98.342
381.00,98.807
382.00,99.145
383.00,99.261
384.00,99.304
385.00,99.270
386.00,99.144
387.00,99.001
388.00,98.704
389.00,98.369
390.00,97.899
391.00,97.478
392.00,97.026
393.00,96.512
394.00,96.085
395.00,95.631
396.00,95.241
397.00,94.819
398.00,94.434
399.00,94.019
400.00,93.605
401.00,93.246
402.00,93.003
403.00,92.813
404.00,92.631
405.00,92.523
406.00,92.443
407.00,92.403
408.00,92.399
409.00,92.501
410.00,92.643
411.00,92.717
412.00,92.753
413.00,92.920
414.00,93.163
415.00,93.401
416.00,93.600
417.00,93.824
418.00,94.168
419.00,94.493
420.00,94.826
421.00,95.082
422.00,95.351
423.00,95.679
424.00,95.997
425.00,96.304
426.00,96.559
427.00,96.810
428.00,97.047
429.00,97.251
430.00,97.493
431.00,97.680
432.00,97.873
433.00,97.936
434.00,98.014
435.00,98.048
436.00,98.076
437.00,98.037
438.00,97.919
439.00,97.842
440.00,97.697
441.00,97.564
442.00,97.295
443.00,97.062
444.00,96.745
445.00,96.415
446.00,96.034
447.00,95.661
448.00,95.280
449.00,94.836
450.00,94.351
451.00,93.806
452.00,93.279
453.00,92.776
454.00,92.243
455.00,91.720
456.00,91.095
457.00,90.490
458.00,89.865
459.00,89.307
460.00,88.736
461.00,88.126
462.00,87.529
463.00,86.902
464.00,86.347
465.00,85.739
466.00,85.193
467.00,84.583
468.00,84.028
469.00,83.482
470.00,82.959
471.00,82.445
472.00,81.917
473.00,81.438
474.00,80.976
475.00,80.534
476.00,80.107
477.00,79.664
478.00,79.287
479.00,78.891
480.00,78.543
481.00,78.164
482.00,77.852
483.00,77.509
484.00,77.190
485.00,76.893
486.00,76.657
487.00,76.432
488.00,76.178
489.00,75.968
490.00,75.768
491.00,75.625
492.00,75.477
493.00,75.354
494.00,75.212
495.00,75.134
496.00,75.051
497.00,74.989
498.00,74.890
499.00,74.819
500.00,74.798
501.00,74.761
502.00,74.735
503.00,74.736
504.00,74.771
505.00,74.833
506.00,74.871
507.00,74.924
508.00,74.978
509.00,75.028
510.00,75.130
